Type	Section	Division	Group	Class	Code	Class type	V4.3 Equivalent	Code(4.3)	Subterranean-Any	Subterranean-Terrestrial	Actor_Subterranean-Terrestrial	Subterranean-Freshwater	Actor_Subterranean-Freshwater	Subterranean-Marine	Actor_Subterranean-Marine	Stakeholders	References	Assessed_quantitatively	Assessed_qualitatively	Notes
Biotic	Provisioning	Biomass	Cultivated terrestrial plants for nutrition, materials or energy 	Cultivated terrestrial plants (including fungi, algae) grown for nutritional purposes	1.1.1.1	Crops by amount, type (e.g. cereals, root crops, soft fruit, etc.)	Cultivated crops	1.1.1.1	1	1	Cultivated fungi	1	GW-dependend rice fields, Spirulina production	0	NA	Farmers		0	1	https://www.showcaves.com/english/explain/Biology/Fungi.html
Biotic	Provisioning	Biomass	Cultivated terrestrial plants for nutrition, materials or energy 	Fibres and other materials from cultivated plants, fungi, algae and bacteria for direct use or processing (excluding genetic materials)	1.1.1.2	Material by amount, type, use, media (land, soil, freshwater, marine)	Fibres and other materials from plants, algae and animals for direct use or processing	1.2.1.1	0	0	NA	0	NA	0	NA	NA				-
Biotic	Provisioning	Biomass	Cultivated terrestrial plants for nutrition, materials or energy 	Cultivated plants (including fungi, algae) grown as a source of energy 	1.1.1.3	By amount, type, source	Plant-based resources	1.3.1.1	1	0	NA	0	NA	1	bacteria and archaea potentially useful in the fields of bioenergy (e.g. methane production)	Industry ; Biotechnology	Polymenakou PN, Mandalakis M, Dailianis T, Dimitriadis C, Medvecky M, Magoulas A, Gerovasileiou V (2018) Preliminary assessment of methanogenic microbial communities in marine caves of Zakynthos Island (Ionian Sea, Greece). Mediterranean Marine Science, 19: 284-289.	0	1	-
Biotic	Provisioning	Biomass	Cultivated aquatic plants for nutrition, materials or energy 	Plants cultivated by in- situ aquaculture grown for nutritional purposes 	1.1.2.1	Plants, algae by amount, type	Plants and algae from in-situ aquaculture	1.1.1.5	0	0	NA	0	NA	0	NA	NA				-
Biotic	Provisioning	Biomass	Cultivated aquatic plants for nutrition, materials or energy 	Fibres and other materials from in-situ aquaculture for direct use or processing (excluding genetic materials)	1.1.2.2	Plants, algae by amount, type	Plants and algae from in-situ aquaculture	1.1.1.5	0	0	NA	0	NA	0	NA	NA				-
Biotic	Provisioning	Biomass	Cultivated aquatic plants for nutrition, materials or energy 	Plants cultivated by in- situ aquaculture grown as an energy source	1.1.2.3	Plants, algae by amount, type	Plants and algae from in-situ aquaculture	1.1.1.5	0	0	NA	0	NA	0	NA	NA				-
Biotic	Provisioning	Biomass	Reared animals for nutrition, materials or energy  	Animals reared for nutritional purposes	1.1.3.1	Animals, products by amount, type (e.g. beef, dairy)	Reared animals and their outputs	1.1.1.2	1	1	Caves/caverns used by traditional sheperds as shelters for cattle	0	NA	0	NA	Shepherds				-
Biotic	Provisioning	Biomass	Reared animals for nutrition, materials or energy  	Fibres and other materials from reared animals for direct use or processing (excluding genetic materials)	1.1.3.2	Material by amount, type, use, media (land, soil, freshwater, marine)	Materials from plants, algae and animals for agricultural use	1.2.1.2	1	1	Cheese production	0	NA	0	NA	Shepherds	Ozturkoglu-Budak, S., Gursoy, A., Aykas, D. P., Koçak, C., Dönmez, S., De Vries, R. P., & Bron, P. A. (2016). Volatile compound profiling of Turkish Divle Cave cheese during production and ripening. Journal of Dairy Science, 99(7), 5120-5131.		1	-
Biotic	Provisioning	Biomass	Reared animals for nutrition, materials or energy  	Animals reared to provide energy (including mechanical)	1.1.3.3	By amount, type, source	Animal-based resources & Animal-based mechanical energy	1.3.1.2 & 1.3.2.1	0	0	NA	0	NA	0	NA	NA				-
Biotic	Provisioning	Biomass	Reared aquatic animals for nutrition, materials or energy  	Animals reared by in-situ aquaculture for nutritional purposes	1.1.4.1	Animals by amount, type	Animals from in-situ aquaculture 	1.1.1.6	1	0	NA	0	NA	1	Fishponds in hawaii (closed bays with fsw influenced closed by the hawaian people and used to reared fish. They are epigean but with a strong influence of groundwater)	Fishers				-
