Production of coal,tonnes (metric),...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17,...18,...19,...20,...21,...22,...23,...24
"
	Country",Sub-commodity,2012.0,,2013.0,,2014.0,,2015.0,,2016.0,,2017.0,,2018.0,,2019.0,,2020.0,,2021.0,,2022.0,
Afghanistan,Coal,(c),1239900,(c),1347000,(c),1517400,(c),1364800,(c),1698200,(c),2191400,(c),2444600,(c),2139200,(c),56620,(c),340800,(c),537127
Albania,Lignite,,0,,0,,0,,69000,,4000,,46000,,98000,,31000,,42000,,24482,,149312
Argentina,Bituminous,,246000,,183000,,57000,,22000,,17000,,16550,,39340,,68830,,12875,,13113,,13110
Australia,Bituminous,(f),381045000,(f),411314000,(f),441520000,(f),439979000,(f),443449000,(f),435889000,(f),457541000,(f),463212000,(f),428430000,(f),419352000,(f),401063000
Australia,Brown coal,(j),69124000,(j),59854000,(j),58001000,(j),60957000,(j),59757000,(j),56095000,(j),45062000,(j),42256000,(j),40372000,(j),42263000,(j),39126000
Australia,Coking coal,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,Coal,(j),861072,(j),854804,(j),942796,(j),675776,(j),1021638,(j),1160658,(j),923276,(j),805696,(j),811138,(j),753973,(j)*,750000
Bhutan,Coal,,98731,,77744,,121891,,85164,,117783,,161527,,186824,,184785,,72838,,111545,,158603
Bosnia & Herzegovina,Brown coal & lignite,,12311623,,11764827,,11673320,,12111830,,13488147,,14033504,,14378767,,13376548,,13365730,,12802517,,13736665
Botswana,Coal,,1454724,,1495653,,1711555,,2065778,,1873547,,2215782,,2482313,,2110891,,1923990,,2700377,,3198223
Brazil,Bituminous & lignite,(e),6440998,(e),8009895,(e),7723299,#,8028585,,7005281,,10179784,,10483793,,9433816,,9158388,,12070822,,11528892
Bulgaria,Anthracite & Bituminous,,0,,0,,16500,,0,,10,,,,,,,,,,,,
Bulgaria,Brown coal,,2556700,,2301500,,2228800,,2165100,,2140000,,2451500,*,1500000,*,1300000,,1100000,,840000,,720000
Bulgaria,Lignite,,31040700,,26459300,,29127500,,33773000,,29294200,,32136500,*,2.9e+07,*,2.9e+07,*,20900000,,27160000,,35280000
Canada,Bituminous,,35374000,,,,,,,,,,,,,,,,,,,,
Canada,Coal,,,,68909000,,69036000,,61931000,,61461000,,60866000,,54600000,,51801000,,40791647,,41809481,,39467993
Canada,Lignite,,9496000,,,,,,,,,,,,,,,,,,,,
Canada,Sub-bituminous,,21625000,,,,,,,,,,,,,,,,,,,,
Chile,Bituminous,,141120,,144313,,194747,,157017,,114887,,70281,,38021,,41385,,25778,,18541,,14950
Chile,Lignite,,570594,,2758131,,3973438,,3004709,,2410284,,2425109,,2256656,,1565169,,165784,,0,,0
China,Coal,,3945128000,,3974322000,,3.874e+09,,3.747e+09,,3.411e+09,,3.524e+09,,3.698e+09,,3.846e+09,,3.902e+09,,4.126e+09,,4.56e+09
Colombia,Anthracite,(t),589,(t),3200,(t),5622,(t),7133,(t),29721,(t),25051,(t),201162,(t),127090,(t)*,120000,(t),109798,(t)*,173000
Colombia,Coking coal,,4906137,,4892932,,5104123,,4823869,,4411104,,5981970,,7229915,,7135797,,7330000,,7873559,*,5700000
Colombia,Other bituminous coal,,84799802,,81040114,,83677949,,81723769,,86582319,,85263570,,78824137,,77079899,,42000500,,48659153,*,54200000
"Congo, Democratic Republic",Bituminous,#,0,,4000,,5600,,6900,,8200,*,8000,*,8000,*,8000,*,8000,*,8000,*,8000
Czech Republic,Bituminous,,10796000,,8610000,,8341000,,7640000,,6074000,,4870000,,4110000,,3150000,,1861000,,2008000,,1281000
Czech Republic,Brown coal,,43710000,,40585000,,38348000,,38251000,,38646000,,39310000,,39187000,,37465000,,29505000,,29505000,,33398000
Egypt,Coal,(j),315953,(j),6385,(j),9387,,,,,,,,,,,,,,,,
Eswatini (Swaziland),Anthracite,,152284,,257090,,177931,,141733,,158418,,202277,,144375,,109926,,161768,,162681,,215581
Ethiopia,Lignite,*,20000,*,20000,*,27000,,34131,,14582,*,35000,,2767,*,2700,*,2700,*,2700,*,2700
Georgia,Coal,,424998,,404187,,299314,,305870,,296500,,268113,,137912,,15900,,99134,,147878,,247000
Germany,Anthracite & Bituminous,,11558000,,8260000,,8340000,,6650000,,4079000,,3840000,,2762000,,0,,0,,0,,0
Germany,Brown coal,,185432000,,182995337,,178154848,,178065353,,171546550,,171286000,,166258371,,131314116,,107377260,,126256594,,130801111
Greece,Lignite,,62368800,,55500000,,50411000,,46308120,,32674790,,37802600,,36574360,,2.6e+07,,1.4e+07,,12081578,,14289000
Hungary,Bituminous,,0,,0,,11,,5687,,748,,789,,2083,,6095,,1513,,252,,418
