Production of diamond,Carats,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17,...18,...19,...20,...21,...22,...23,...24
"
	Country",Sub-commodity,2012.0,,2013.0,,2014.0,,2015.0,,2016.0,,2017.0,,2018.0,,2019.0,,2020.0,,2021.0,,2022.0,
Angola,,,8330996,,8601696,,8791340,,9018942,,9021767,,9438802,,8408688,,9149746,,7734281,,8723069,,8763309
Australia,,,8625996,,11481749,,9288118,,13560795,,13958000,,17135000,,14008054,,12154544,,9980000,,0,,0
Botswana,,,20478000,,22597000,,24658000,,20824000,,20954000,,22900000,,27373000,,23687000,,16868000,,22696000,,24479000
Brazil,,,46292,,49166,,56923,,31826,,183500,,254896,,250940,,165992,,124548,,142661,,158420
Cameroon,,(b)*,5000,(b)*,5000,(b)*,6000,(b)*,4500,(b)*,3000,(b)*,3500,(b)*,3600,(b)*,3500,(b)*,4200,(b)*,4500,(b)*,4200
Canada,,,10529215,,10561600,,12082000,,11677472,,11103500,,23198761,,22789001,,18491388,,15035711,,17353418,,17728144
Central African Republic,,,365917,,,,,,,,10654,,47637,,13572,,27549,,55926,,92772,,118044
China,,*,1855,*,1050,*,0,*,0,*,127,*,230,*,99,*,51,*,21,,0,,0
Congo,,,51588,,56495,,53163,,40057,,12107,,46758,,47579,,2963,,11157,,4125,,3534
"Congo, Democratic Republic",,,19154000,,16653000,,14689000,,14284000,,15523000,,18891800,,15130800,,18892000,,16560000,,12179000,,11683000
Gabon,,,,,,,,,,,,,0,,0,,0,,0,,501,,0
Ghana,,,215118,,159074,,241235,,174364,,143005,(d),86925,(d),57531,(d),33789,(d),25292,(d),54174,(d),82252
Guinea,,,266800,,202365,,164059,,166880,,112796,,181450,,292707,,229180,,128575,,273321,,113848
Guyana,,,40763,,63961,,99950,,118451,,139890,,52161,,62111,,54993,,19240,,45106,,83614
India,,(c),31988,(c),37517,(c),36107,(c),36044,(c),36491,(c),39699,(c),38437,(c),28816,(c),13917,,266,,419
Ivory Coast,,,0,,0,,1074,,14925,,20235,,7361,,5678,,3990,,4015,,3942,,3904
Lesotho,,,478926,,414013,,346017,,304232,,342014,,1126409,,1294283,,1113526,,481243,,339452,,727737
Liberia,,,34271,,47819,,74882,,65996,,60367,,60636,,75554,,55936,,54599,,63027,,55391
Mali,,,,,,,,,,,,,,,0,,0,,0,,0,,92
Namibia,,,1665684,,1776260,,1897872,,1774509,,1584168,,1815709,,2091781,,1745281,,1484290,,1517525,,2054227
Russia,,,34927650,,37884140,,38303500,,41912390,,40322030,,42614780,,43161058,,45271212,,31186551,,39116970,,41923910
Sierra Leone,,,532560,,604740,,594422,,1000089,,549502,,288260,,739600,,824430,,686020,,829330,,680432
South Africa,,,7245403,,8168113,,8060373,,8232627,,8450758,,9685235,,9911460,,7177435,,8470840,,9723811,,9646300
Tanzania,,,127174,,179633,,252875,,216491,,216032,,304456,,381302,,416750,,147191,,62545,,442016
Togo,,,456,,24,,23,,46,,0,,2,,0,,16,,0,,0,,0
Venezuela,,,,,,,,,,,,,0,,0,,0,,794,*,800,*,800
Zimbabwe,,,12060163,,10411818,,4771637,,3490881,,2102873,,2507862,,3252418,,2119189,,2670458,,4224300,,4844019
Notes,,,,,,,,,,,,,,,,,,,,,,,
Table notes,,,,,,,,,,,,,,,,,,,,,,,
1:,This table does not show production of synthetic diamond,,,,,,,,,,,,,,,,,,,(1992 Onwards),,,
2:,So far as possible the amounts shown include estimates for illegal production,,,,,,,,,,,,,,,,,,,(1996 Onwards),,,
2:,So far as possible the amounts shown include estimates for artisanal and/or illegal production,,,,,,,,,,,,,,,,,,,(2012 Onwards),,,
3:,Production of diamond from Ivory Coast has been under United Nations sanctions since 2004. It is believed illegal production continues but it is not possible to estimate the quantity involved.,,,,,,,,,,,,,,,,,,,(2007 Onwards),,,
3:,Production of diamond from Ivory Coast was under United Nations sanctions from 2004 to 2013. It is believed illegal production continued during this period but it is not possible to estimate the quantity involved.,,,,,,,,,,,,,,,,,,,(2011 Onwards),,,
Footnotes,,,,,,,,,,,,,,,,,,,,,,,
*),Estimate,,,,,,,,,,,,,,,,,,,,,,
b),Including artisanal production,,,,,,,,,,,,,,,,,,,,,,
c),Years ended 31 March following that stated,,,,,,,,,,,,,,,,,,,,,,
d),Exports,,,,,,,,,,,,,,,,,,,,,,
e),Under temporary suspension by the Kimberley Process and not trading in rough diamonds; however it is unclear whether production was actually zero in these years,,,,,,,,,,,,,,,,,,,,,,
