Production of gold,mine,kilograms,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17,...18,...19,...20,...21,...22,...23,...24
"
	Country",Sub-commodity,2012.0,,2013.0,,2014.0,,2015.0,,2016.0,,2017.0,,2018.0,,2019.0,,2020.0,,2021.0,,2022.0,
Algeria,,,264,,140,,85,,106,,102,,137,,286,,70,,58,,71,,138
Angola,,,,,,,,,,,,,0,,0,,23,,59,,35,,80
Argentina,,,54651,,52486,,60170,,60960,,56648,,60956,,58397,,53092,,34936,,37280,*,44500
Armenia,,,1941,,2324,,2814,,2805,*,3730,*,4270,,4908,,5825,,5900,,3400,*,4600
Australia,,,250441,,267062,,271856,,277372,,290767,,292022,,313028,,326304,,327952,,307577,,306320
Azerbaijan,,,1562,,1621,,1872,,2229,,1895,,3667,,3476,,3712,,3571,,3427,,3316
Benin,,,,*,30,*,30,*,6,*,7,*,5,*,5,*,5,*,5,*,5,*,5
Bolivia,,,12000,,13459,,34830,,22208,,21876,,28726,,31599,,42040,,23207,,45662,,53374
Botswana,,,1522,,1206,,958,,757,,833,,913,,1105,,942,,851,,650,,426
Brazil,,,66773,,79563,,81038,,83124,,93921,,80000,,85000,,75000,,82000,*,90000,*,83000
Bulgaria,,,7058,,7385,,7899,,7914,,7918,,8682,,6465,,7413,,9590,,9966,,11183
Burkina Faso,,,29877,,32994,,36320,,36540,,38520,,46436,(v),52898,(v),51500,(v),62470,(v),66931,(x),60000
Burundi,,,2147,,2823,,650,,549,,396,,1742,,1898,,1599,,863,,893,*,900
Cambodia,,,,,,,,,,,,,,,,,,,0,,1465,,3312
Cameroon,,*,1000,*,1000,*,1000,,795,,542,,713,,478,,341,*,450,*,450,*,175
Canada,,,107486,,133636,,152460,,162504,,163888,,171111,,194155,,182783,,182352,,222524,,192012
Central African Republic,,,,*,55,,7,,15,,33,,118,,142,,359,,401,,858,,1507
Chad,,,,,,*,10,*,10,,,,,,,,,,,,,,
Chile,,,49936,,51309,,46031,,42501,,46333,,37911,,37066,,38455,,33895,,34248,,30966
China,,(d),403050,(d),428163,(d),451799,(d),450053,(d),453490,(d),426142,(d),401119,(d),380230,(d),365340,(d),329000,(d),372048
Colombia,,,66222,,55968,,57896,,59638,(v),63157,(v),43158,(v),35965,(v),38006,(v),48561,(v),55321,(v),42142
Congo,,*,150,*,150,*,150,*,150,*,150,*,150,*,150,*,150,*,150,*,150,*,150
"Congo, Democratic Republic",,*,17000,*,17000,*,36600,*,38000,*,37100,*,37100,*,43800,*,43000,*,40000,*,42000,*,38000
Costa Rica,,,0,*,1500,,1350,,950,,750,,4255,,3699,,4500,,599,,647,,864
Cyprus,,,,,0,,0,,0,,0,,48,,47,,33,,61,,0,,0
