Production of gypsum and plaster,tonnes (metric),...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17,...18,...19,...20,...21,...22,...23,...24
"
	Country",Sub-commodity,2012.0,,2013.0,,2014.0,,2015.0,,2016.0,,2017.0,,2018.0,,2019.0,,2020.0,,2021.0,,2022.0,
Afghanistan,,,2000,,2500,,3000,*,3000,*,3000,*,3000,*,3000,*,3000,*,3000,*,3000,*,3000
Albania,,,91021,,126349,,108733,,86163,,131925,,104120,,102016,,106070,,111880,,116295,,78239
Algeria,,,2e+06,,2077700,,2130459,,2130000,,2130000,,2399000,,1884000,*,2500000,*,2500000,*,2500000,*,2500000
Angola,,,121981,,189242,,328130,,127910,*,190000,*,190000,*,190000,*,190000,*,190000,*,190000,*,190000
Argentina,,,1432517,,1547862,*,1500000,,1314655,,1558390,,1275608,,897217,,761023,,499092,*,5e+05,*,5e+05
Armenia,,,30400,,28700,,22300,,19400,,14800,,14300,,20400,,22900,,29000,,28000,,38000
Australia,,(b),3834900,(b),3588885,(b),3624174,(b),3824801,(b),3746298,(b),3629716,(b),4066464,(b),4286774,(b),3763409,(b),4328726,(b),4837948
Austria,,(a),791961,(a),635299,(a),729892,(a),715195,(a),674346,(a),712469,(a),836862,(a),900217,(a),900619,(a),900374,(a),876075
Azerbaijan,,,149983,,169028,,145457,,196463,,110501,,33037,,12043,,14675,,297594,,416892,,369908
Bhutan,,,313173,,351421,,414148,,389365,,317597,,328128,,461128,,490596,,331050,,403753,,400183
Bolivia,,,645,,1223,*,1000,,650,,1181,*,1100,*,1100,*,1100,*,1100,*,1100,*,2900
Bosnia & Herzegovina,,(a),73365,(a),73300,(a),67700,(a),58800,(a),61231,(a),99001,(a),122421,(a),130778,(a),140994,(a),297225,(a),135408
Brazil,,,3749860,,3332991,,3471328,,3161856,,3471328,*,3e+06,,2666002,,5685654,,2851643,,3260209,,5155340
Bulgaria,,,113700,,119100,,87800,,108600,,60900,,88000,*,88000,*,88000,*,88000,*,88000,*,88000
