Production of iron ore,tonnes (metric),...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17,...18,...19,...20,...21,...22,...23,...24
"
	Country",Sub-commodity,2012.0,,2013.0,,2014.0,,2015.0,,2016.0,,2017.0,,2018.0,,2019.0,,2020.0,,2021.0,,2022.0,
Algeria,,,1700000,,1066700,,911135,,944000,,826000,,497000,,706000,,759000,,753000,,742000,*,750000
Australia,,,519356328,,609729698,,739682244,,809881763,,858025634,,885356738,,903850494,,917045579,,918063223,,922158512,,944052390
Austria,,(k),2142255,(k),2323323,(k),2436675,(k),2783327,(k),2777260,(k),2981737,(k),2803536,(k),3242102,(k),3043237,(k),3311102,(k),3236767
Azerbaijan,,,207300,,141400,,91400,,127600,,25500,,0,,,,,,,,,,
Bhutan,,,3742,,20506,,18997,,43202,,28065,,32974,,37843,,36864,,14734,,25917,,3492
Bolivia,,,13348,,1760,,18425,,24453,,22,,38330,,71662,,79023,,26576,,29322,,372305
Bosnia & Herzegovina,,,2075732,,2121908,,2127564,,2122802,,1751800,,1621907,,1380488,,1450205,,1427410,,1553961,,1286283
Brazil,,,400600000,,316800000,,411182786,,430838137,,424200000,,453703525,,450403998,,396943645,,388639076,,423185073,,403024748
Canada,,(g),39427100,(g),42769700,(g),44196000,(g),46673000,(g),48999000,(g),51836000,(g),52358000,(g),59013000,(g),60059572,(g),57491803,(g),64666561
Chile,,,17330000,,17109000,,18866000,,15448000,,14620000,,15426000,,14013000,,13137000,,15553000,,17685000,,17638000
China,,,1309637000,,1451011000,,1514240000,,1381288000,,1280893000,,1229373000,#,334790000,,3.51e+08,*,270500000,*,2.66e+08,*,2.6e+08
Colombia,,,827447,,831280,,676525,,902451,,715881,,712868,,575542,,666715,,786641,,749890,,497481
Ecuador,,(n),7631,(n),2616,(n),408,,,,,,,,,,,,,,,,
Egypt,,(d),427831,(d),1421772,(d),1699133,(d),508915,(d),565229,(d),565000,(d),557000,(d),107000,(d),4200,(d),12900,(d)*,12000
Eswatini (Swaziland),,,1032230,,1258560,,603251,,,,,,,,,,,,,,,,
Germany,,(f)(i),447515,(f)(i),413404,(f)(i),461082,(f)(i),467690,(f)(i),514004,(f)(i),447300,(f)(i),448000,(f)(i),533700,(f)(i),529400,(f)(i),488443,(f)(i),469796
Guatemala,,,1000,,778,,,,,,,,6360,,6172,,69,,62,*,60,*,60
Guinea,,,,,,,,,,,0,,0,,0,,0,,644245,,1755079,,304390
India,,(h),136618000,(h),152183000,(h),129321000,(h),158108000,(h),194584000,(h),201426000,(h),206446000,(h),246081000,(h),204481000,(h),253973000,,252317000
Indonesia,,,11545752,,22353337,,5951400,,3838546,,3800000,,1955926,,1321249,,3450000,*,3500000,*,3500000,*,3500000
Iran,,(e),43497000,(e),48693000,(e),54082000,(e),58485696,(e),65001032,(e),75843536,(e),93365420,(e),91778118,(e),104818915,(e)*,1.05e+08,(e)*,1.05e+08
Iraq,,,,,,,,,,,,,,,,,,,,,,,
