Production of natural gas,million cubic metres,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17,...18,...19,...20,...21,...22,...23,...24
"
	Country",Sub-commodity,2012.0,,2013.0,,2014.0,,2015.0,,2016.0,,2017.0,,2018.0,,2019.0,,2020.0,,2021.0,,2022.0,
Afghanistan,,(c),160,(c),155,(c),142,(c),146,(c),165,(c),156,(c),153,(c),129,(c),80,(c),285,(d),153
Albania,,,18,,19,,33,,35,,92,,102,,92,,80,,57,,57,,51
Algeria,,,78400,,79300,,80200,,81400,,91400,,93000,,93800,,87000,,81400,,101100,,98200
Angola,,,740,,910,,720,,770,,1710,,5776,,6455,,6740,,7503,,5860,*,5900
Argentina,,,44124,,41708,,41484,,42896,,44988,,44595,,40294,,46305,,41560,,44129,,47159
Australia,,,60197,,62479,,67335,,76791,,97328,,113805,,130987,,154485,,154107,,156463,,163112
Austria,,,1729,,1359,,1245,,1183,,1253,,1742,,969,,891,,743,,654,,607
Azerbaijan,,,17242,,17895,,18827,,19236,,18718,,18186,,19207,,24514,,26487,,32578,,34956
Bahrain,,,16755,,19241,,20627,,21283,,21062,,21465,,21879,,24887,,25114,,26088,,25675
Bangladesh,,(d),21056,(d),22670,(d),23232,(d),25263,(d),27489,(d),27445,(d),27613,(d),27196,(d),24998,(d),25172,(d),23903
Barbados,,,23,,22,,21,,20,,17,,15,,14,,14,,11,,11,,9
Belarus,,,218,,228,,222,,225,,216,,205,,211,,218,,219,*,200,*,200
Bolivia,,,18300,,20800,,21954,,21981,,21134,,18300,,17300,,15100,,14700,,15100,,13400
Brazil,,,20845,,24290,,24536,,24862,,25337,,28663,,26687,,27358,,25403,,25382,,24098
Brunei,,,12565,,12206,,11852,,12452,,12025,,12290,,11851,,12140,,11795,,10765,,10600
Bulgaria,,,390,,282,,183,,85,,80,,65,,22,,29,,55,,31,,17
Cameroon,,,4,,152,,308,,369,,357,,392,,1463,,2006,,2130,,1578,,2195
Canada,,,144440,,145395,,151352,,156413,,158452,,160885,,157176,,161367,,158325,,164272,,185000
Chile,,,1207,,893,,907,,1064,,1175,,1200,,1221,,1339,,1316,,1275,,1355
China,,,110608,,120858,,130157,,134610,,136865,,148035,,160159,,176174,,192495,,207584,,220110
Colombia,,,11500,,13200,,12300,,11600,,12000,,11800,,12400,,12600,,12500,,12600,,12400
Congo,,,1161,,1642,,1501,,1501,,1388,,1263,,916,,1025,,1332,,913,,686
Croatia,,,2013,,1862,,1804,,1828,,1690,,1530,,1279,,1070,,888,,782,,745
Cuba,,,1035,,1066,,1200,,1245,,1185,,1051,,970,,951,,895,,864,,844
Czech Republic,,,204,,207,,198,,200,,169,,171,,179,,146,,138,,153,,165
Denmark,,,5480,,4566,,4381,,4374,,4301,,4592,,3929,,2980,,1351,,1283,,1275
East Timor,,,5192,,5906,,5320,,6055,,5855,,5270,,6554,,7152,,6770,,6449,,2911
Ecuador,,,510,,514,,566,,510,,538,,481,,368,,340,,283,,312,,510
Egypt,,,60900,,54000,,40400,,42600,,40300,,55900,,58600,,64900,,58500,,67800,,64500
Equatorial Guinea,,(e),6672,(e),6861,(e),6452,(e),6494,(e),6079,(e),7192,(e),6765,(e),5883,(e),5255,(e),6121,(e)*,6000
France,,,1019,,340,,17,,20,,20,,17,,9,,17,,0,,0,,0
Gabon,,(e),380,(e),420,(e),438,(e),466,(e),530,(e),565,(e),622,(e),464,(e),502,(e),454,(e)*,450
Georgia,,,5,,5,,10,,11,,7,,9,,10,,9,,9,,15,*,15
Germany,,,11706,,10678,,10060,,9323,,8608,,7932,,6888,,6699,,5692,,5731,,5281
Ghana,,,,,,,52568,,24200,,1273,,2189,,2590,,4802,,2600,,2900,*,3000
Greece,,,6,,5,,5,,4,,9,,8,,11,,11,,6,*,5,*,5
Hungary,,,2205,,2028,,1946,,1872,,1986,,1885,,2104,,1852,,1888,,1663,,1706
