Production of nickel,mine,tonnes (metal content),...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17,...18,...19,...20,...21,...22,...23,...24
"
	Country",Sub-commodity,2012.0,,2013.0,,2014.0,,2015.0,,2016.0,,2017.0,,2018.0,,2019.0,,2020.0,,2021.0,,2022.0,
Albania,,,750,,2151,,5091,,6280,,3952,,5323,,4204,,2830,,3764,,4178,,1574
Australia,,,304152,,292619,,266181,,225227,,203135,,185466,,160022,,158751,,169344,,150876,,154378
Botswana,,,17948,,22848,,14958,,16789,,14273,,0,,,,,,,,,,
Brazil,,,89600,,77400,,85600,#,182900,,134600,,83200,,65300,,55700,,68100,,76000,,77400
Canada,,,211701,,227743,,228867,,234519,,235034,,214302,,185962,,180904,,167243,,133581,,96757
China,,,93300,,93151,,101067,,101403,,100219,,102300,,108200,,104674,,104674,,103900,,109400
Colombia,,,52372,,49320,,41221,,36671,,37091,,40606,,47700,,45000,,40500,,43800,,46400
Cuba,,,64600,,55600,,51600,,50000,,47800,,49300,,49000,,45500,,46300,,43400,,42800
Dominican Republic,,,15186,,9355,,0,,0,,9913,,15632,,19214,,28450,,22005,,27848,,29223
Finland,,(k),19073,(k),18560,(k),19281,(k),9383,(k),20654,(k),34641,(k),43572,(k),38530,(k),41429,(k),42163,(k),44921
Greece,,,20600,,19800,,20600,,20800,,21800,,19100,,17900,,13700,,7100,,4700,,1700
Guatemala,,,2440,,9120,,37222,,46298,,36939,,54517,,39200,,36300,,50300,,61600,,48200
Indonesia,,,1013000,,1340000,,188000,*,129600,,204000,,355000,,606000,,853000,,767000,,1069000,,1579000
Ivory Coast,,,,,0,,0,,0,,0,,400,,12300,,9100,,18600,,22600,*,24500
Kosovo,,,4436,,7607,,6724,,7418,,4265,,7120,,4791,,3314,,3958,,4735,,387
Madagascar,,,5695,,25148,,37053,,47271,,42105,,35474,,33183,,33736,,9908,,29285,,35737
Morocco,,,288,,160,,0,,0,,0,,196,,126,,131,,100,,100,,200
Myanmar,,,0,,9450,(e),19706,(e),22913,(e),22562,(e),21828,(l)*,21000,(l),18986,*,22200,*,18000,*,10000
New Caledonia,,,131693,,164406,,175174,,193199,,204207,,215382,,216225,,208185,,199475,,186284,,199951
North Macedonia,,*,1700,,,,,,,,,,,,,,,,,,,,
Norway,,,351,,296,,290,,300,,200,,200,,300,,200,,300,,200,,200
Papua New Guinea,,,5283,,11369,,20987,,25582,,22269,,34666,,35355,,33091,,33659,,31594,,34302
Philippines,,,317621,,315633,,393262,,418292,,300506,,339377,,344966,,323325,,328372,,386359,,360000
Poland,,,840,,570,,780,,840,,770,,720,,700,,720,,710,,740,,830
Russia,,,268700,,264000,,264000,,261000,,223000,,221000,,218000,,223200,,237300,*,190000,,220000
South Africa,,(a),45945,(a),51208,(a),54956,,56689,,48994,,48383,,43236,,43443,,34908,,31846,,29033
Spain,,,2398,,7574,,8631,,7213,,,,,,,,,,,,,,
Turkey,,,3805,,1076,,3034,,8637,,9337,,14770,,13559,,4742,,20201,,11647,,14535
USA,,,0,,0,,4093,,27167,,23417,,21302,,17974,,14297,,16718,,18353,*,18000
Venezuela,,,8100,,0,,2500,,2581,,,,,,,,,,,,,,
Vietnam,,,0,,1166,,6854,,8607,,4272,,0,,,,,,,,,,
Zambia,,,,,,,,,0,,0,,0,,487,,2500,,3226,,3834,,4059
Zimbabwe,,,7899,,12962,,16633,,16109,,17743,,16617,,17850,,16279,,16480,,13949,,13753
Notes,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Footnotes,,,,,,,,,,,,,,,,,,,,,,,
#),Break in series,,,,,,,,,,,,,,,,,,,,,,
*),Estimate,,,,,,,,,,,,,,,,,,,,,,
a),Includes metal and metal content of sulphate and concentrates,,,,,,,,,,,,,,,,,,,,,,
e),Years ended 31 March of the year following that stated,,,,,,,,,,,,,,,,,,,,,,
k),In addition some nickel is produced as a by-product of a talc operation. The amount is negligible.,,,,,,,,,,,,,,,,,,,,,,
l),Years ending 30 September of that stated,,,,,,,,,,,,,,,,,,,,,,
s),Nickel content of refinery products.,,,,,,,,,,,,,,,,,,,,,,
