Production of petroleum,crude,tonnes (metric),...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17,...18,...19,...20,...21,...22,...23,...24
"
	Country",Sub-commodity,2012.0,,2013.0,,2014.0,,2015.0,,2016.0,,2017.0,,2018.0,,2019.0,,2020.0,,2021.0,,2022.0,
Afghanistan,,*,3000,,4507,,5080,*,3700,*,2700,*,900,*,900,*,900,*,900,*,900,*,900
Albania,,,1029319,,1203638,,1342451,,1279253,,1055764,,954768,,910683,,1005088,,757393,,712532,,657402
Algeria,,,67200000,,64800000,,68800000,,67200000,,68400000,,66600000,,65300000,,64300000,,57500000,,58200000,,63600000
Angola,,,86900000,,85700000,,83300000,,88200000,,85800000,,81600000,,74100000,,69100000,,64200000,,56600000,,57800000
Argentina,,,29284559,,28675450,,28243106,,27176128,,27176128,,25463642,,26013729,,26060312,,25603785,,26521000,,30079000
Australia,,,21672309,,18238139,,19558279,,17203247,,16112627,,15495471,,16206743,,20931300,,20442600,,19430000,,18505668
Austria,,(a)(h),917889,(a)(h),917321,(a)(h),945034,(a)(h),905999,(a)(h),809358,(a)(h),741890,(a)(h),664009,(a)(h),626877,(a)(h),594789,(a)(h),559947,(a)(h),521211
Azerbaijan,,,43600000,,43500000,(h),41952400,(h),41628300,(h),40999100,(h),38688400,(h),38814300,(h),37501200,(h),34531900,(h),34580300,(h),32646400
Bahrain,,(h),2914000,(h),2996000,(h),3074000,(h),3157000,(h),3065000,(h),2807000,(h),2769000,(h),3178000,(h),3210000,(h),2993000,(h),2884000
Bangladesh,,,,,,,0,,0,,0,,491300,,617500,,591800,*,6e+05,,,,
Barbados,,,37369,,34923,,32161,,34239,,31944,,32046,,30254,,28733,,23736,,20899,,19254
Belarus,,,1660000,,1645000,,1645000,,1645000,,1645000,,1650000,,1670000,,1690000,,1710000,,1690000,,1590000
Bolivia,,,1925800,,3010400,,3149000,,3381000,,3566000,,3620000,,3440000,,3225000,,3065000,,3030000,,2870000
