Production of platinum group metals,mine,kilograms (metal content),...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17,...18,...19,...20,...21,...22,...23,...24
"
	Country",Sub-commodity,2012.0,,2013.0,,2014.0,,2015.0,,2016.0,,2017.0,,2018.0,,2019.0,,2020.0,,2021.0,,2022.0,
Australia,Palladium,(b),706,(b),786,(b),766,(b),533,(b),762,(b),765,,430,,384,,414,,380,,392
Australia,Platinum,,,,,,,,,,,,,,111,,99,,107,,90,,100
Botswana,Palladium,,2582,,1337,,560,,156,,,,,,,,,,,,,,
Botswana,Platinum,,435,,218,,124,,31,,,,,,,,,,,,,,
Canada,Iridium,,,,,,,,,,,,,*,286,,0,,0,,0,,0
Canada,Other platinum metals,*,900,*,1100,*,1400,*,1400,*,1300,*,1100,,,,,,,,,,
Canada,Palladium,*,14400,*,19800,*,21000,*,20800,*,19700,*,17100,,20880,,24234,,12616,,15275,,16565
Canada,Platinum,*,8200,*,9700,*,12000,*,11900,*,11300,*,9800,,8200,*,7755,*,4037,*,4888,*,5301
Canada,Rhodium,,,,,,,,,,,,,,750,*,323,*,168,*,204,*,221
Canada,Ruthenium,,,,,,,,,,,,,*,572,,0,,0,,0,,0
China,Palladium,*,750,*,850,,1000,,1200,,1400,,1400,,1300,,1300,*,1300,*,1300,*,1300
China,Platinum,*,1400,*,1600,,1600,,2300,,2900,,2500,,2500,,2500,*,2500,*,5300,*,2800
Colombia,Platinum,,,,,,,,,,,,,,270,,178,,414,,618,,310
Colombia,,,1460,,1520,,1142,,861,,917,,567,,,,,,,,,,
Ethiopia,Platinum,,,,,(d)*,0,(d)*,5,(d)*,5,(d)*,4,(d)*,4,(d)*,2,(d)*,2,(d)*,4,(d)*,30
Finland,Palladium,,379,,766,,808,,784,,883,,1021,,1157,,699,,858,,1036,,960
Finland,Platinum,,429,,946,,1060,,992,,1154,,1418,,1576,,953,,1276,,1447,,1243
Poland,Palladium,,23,,30,,25,,20,,30,*,7,*,7,*,5,*,7,*,4,*,4
Poland,Platinum,,39,,51,,40,,40,,50,*,11,*,8,*,8,*,8,*,8,*,5
Russia,Iridium,,,,,,,,,,,,,*,200,*,200,*,200,*,200,*,200
Russia,Other platinum metals,(c),2800,(c),2600,(c),2800,(c),2500,(c),2600,(c),2400,,,,,,,,,,
Russia,Palladium,(c),89900,(c),84000,(c),81300,(c),75500,,78300,,86300,,85300,,86600,,92300,*,85000,,86779
Russia,Platinum,(c),24900,(c),25000,(c),22000,(c),20800,,20500,,22100,,23800,,22100,,23500,*,21000,,20248
Russia,Rhodium,,,,,,,,,,,,,*,2500,,2500,*,2500,*,2300,*,2300
Russia,Ruthenium,,,,,,,,,,,,,*,300,*,300,*,300,*,300,*,300
Serbia,Palladium,,22,,25,,23,,22,,31,,38,,55,*,100,*,100,*,100,*,100
Serbia,Platinum,,3,,2,,3,,2,,4,,2,,5,*,10,*,20,*,30,*,10
South Africa,Iridium,,,,,,,,,,,,,,6357,,6464,,6186,,7006,*,6100
South Africa,Other platinum metals,,51010,,51156,,36043,,53699,,54139,,48895,,,,,,,,,,
South Africa,Palladium,,74738,,76008,,58410,,82691,,76273,,80134,,80629,,80684,,66264,,84336,,73104
South Africa,Platinum,,128590,,137024,,93991,,139125,,133241,,131247,,137053,,132989,,111993,,141626,,124401
South Africa,Rhodium,,,,,,,,,,,,,,18608,,18545,,16972,,22256,,18800
South Africa,Ruthenium,,,,,,,,,,,,,,27999,,28386,,25058,,31463,,27900
USA,Other platinum metals,,,,,,124,,96,,103,*,100,,,,,,,,,,
USA,Palladium,,12300,,12600,,12488,,12532,,13070,,13600,,14300,,14300,*,14800,*,14800,,10096
USA,Platinum,,3670,,3720,,3660,,3670,,3890,,3980,,4160,,4150,*,4500,*,4500,,3003
USA,Rhodium,,,,,,,,,,,,,*,100,*,100,*,100,*,100,*,100
