Production of silver,mine,kilograms (metal content),...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17,...18,...19,...20,...21,...22,...23,...24
"
	Country",Sub-commodity,2012.0,,2013.0,,2014.0,,2015.0,,2016.0,,2017.0,,2018.0,,2019.0,,2020.0,,2021.0,,2022.0,
Algeria,,,42,,27,,16,*,20,*,20,*,20,*,100,*,50,,0,,12,*,0
Argentina,,,750000,,774470,,905100,,1175246,,1055700,,997961,,1023768,,1070700,,767100,,824200,,855400
Armenia,,,14000,,14083,,13295,,14344,*,16000,*,18500,*,15000,,17325,,18280,,18983,,18417
Australia,,,1726933,,1839782,,1846847,,1430298,,1418219,,1120175,,1254480,,1325089,,1337344,,1329718,,1169252
Azerbaijan,,,626,,2051,,970,,890,,5136,,8076,,8943,,8160,,7600,,8986,,12125
Bolivia,,,1206000,,1287200,,1346941,,1306977,,1356620,,1222371,,1191024,,1152628,,929909,,1289456,,1214301
Botswana,,,8700,,22597,,22288,,2801,,,,0,,0,,0,,0,,67563,,1099644
Brazil,,,20145,,22427,,32300,,44142,,48793,,41900,,49600,*,68400,*,68400,,80900,*,80000
Bulgaria,,*,55000,,55637,,50200,,37955,,52526,,53053,,41315,,35145,,32760,,31816,*,38000
Burkina Faso,,,4500,,19500,,5400,*,5500,*,5800,*,7000,*,8000,*,7700,,10012,*,9900,,7300
Canada,,,685255,,640362,,495403,,383807,,385134,,389568,,404000,,410000,,295051,,325026,,334480
Chile,,,1194521,,1173845,,1571788,,1504271,,1501436,,1318582,,1370237,,1309321,,1575794,,1383041,,1274363
China,,,3639100,,3673300,,3673300,,3421355,,3496003,,3620400,,3421355,,3443128,,3405800,,3511554,,3477400
Colombia,,,19451,,14046,,11692,,11602,,11866,,12076,,16691,,14479,,19948,,26963,,32650
"Congo, Democratic Republic",,,12342,,60431,,6485,,2401,,800,,3400,*,3400,*,3400,*,3400,*,3400,*,3400
Cyprus,,,,,0,,0,,0,,0,,99,,180,,97,(m),486,,0,,0
Dominican Republic,,,27296,,78228,,135024,,95705,,121748,,151756,,166499,,108685,,87889,,79687,,73413
Ecuador,,,2934,,1198,,577,,2521,,934,,68,,192,,2892,,1792,,2273,,2027
Eritrea,,,29922,,15799,,47398,,38910,,13219,(h),1192,,31000,,44836,,65284,,68624,,49855
Ethiopia,,(d)*,2400,(d)*,1400,(d),1020,(d)*,1000,(d),745,(d)*,1000,(d)*,340,(d)*,400,(d)*,400,(d)*,400,(d)*,400
Fiji,,,342,,462,,361,,354,,354,,350,,358,,692,,479,,622,,475
Finland,,,10479,,14226,,12830,,13051,,16348,,13654,,12849,,40461,,54833,,42736,,36359
Georgia,,,,,,,,*,18000,*,20000,*,21000,,20042,,4052,,11172,,12674,,22420
Germany,,,,,,,,,,,,,600,,500,,400,,400,,600,,700
Ghana,,*,3900,*,3900,,4199,*,4000,*,3100,,4000,,4000,*,4000,*,1000,*,1000,*,1000
Greece,,*,39800,,39759,,35785,,28100,,29300,,34200,,34900,,43800,,50300,,47900,*,50000
