Production of uranium,tonnes (metal content),...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17,...18,...19,...20,...21,...22,...23,...24
"
	Country",Sub-commodity,2012.0,,2013.0,,2014.0,,2015.0,,2016.0,,2017.0,,2018.0,,2019.0,,2020.0,,2021.0,,2022.0,
Australia,,,7010,,6393,,5100,,5656,,6235,,5713,,6562,,6553,,6168,,3794,,4519
Brazil,,,326,,192,,55,,40,,44,,0,,0,,0,,15,,29,,43
Canada,,,8998,,9331,,9101,,13324,,14037,,12433,,7320,,6871,,4085,,4616,,5231
China,,*,1500,*,1500,*,1500,*,1616,*,1616,*,1692,*,1885,*,1885,*,1885,*,1600,*,1700
Czech Republic,,,222,,232,,165,,134,,128,,59,,34,,33,,29,,27,,21
Germany,,,50,,27,,33,,0,,45,,34,,0,,24,,8,,0,,0
India,,*,385,*,385,*,385,*,385,*,385,*,421,*,423,*,308,*,400,*,615,*,600
Iran,,,,,,,,*,38,*,0,*,40,*,71,*,71,*,71,*,21,*,20
Kazakhstan,,,21317,,22567,,23127,,23607,,24586,,23321,,21705,,22808,,19477,,21819,,21227
Malawi,,,1102,,1133,,369,,,,,,,,,,,,,,,,
Namibia,,,4500,,4328,,3311,,2950,,3657,,4529,,5882,,5622,,4204,,5754,,5613
Niger,,,4821,,4277,,4156,,4115,,3478,,3485,,2910,,2863,,2991,,2282,,2020
Pakistan,,*,45,*,45,*,45,*,45,*,45,*,45,*,45,*,45,*,45,*,45,*,45
Romania,,*,90,*,77,*,77,*,77,*,50,*,0,,,,,,,,,,
Russia,,,2862,,3135,,2990,,3055,,3005,,2917,,2904,,2911,,2846,,2635,,2508
South Africa,,,467,,531,,566,,448,,382,,358,,196,,163,,124,,153,,188
USA,,,1596,,1794,,1884,,1287,,1123,,940,,582,,58,,6,,8,,75
Ukraine,,*,960,*,922,*,926,*,1200,,808,,707,,790,,801,,744,,455,,100
Uzbekistan,,*,3000,*,2400,*,2400,*,2385,*,3325,*,3400,*,3450,*,3500,*,3500,*,3500,*,3500
Zambia,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,
Table notes,,,,,,,,,,,,,,,,,,,,,,,
1:,"Excluding uranium production from decommissioning operations in France, Germany and Spain",,,,,,,,,,,,,,,,,,,(1998 Onwards),,,
1:,Excluding uranium production from decommissioning operations,,,,,,,,,,,,,,,,,,,(2009 Onwards),,,
Footnotes,,,,,,,,,,,,,,,,,,,,,,,
*),Estimate,,,,,,,,,,,,,,,,,,,,,,
