Production of vanadium,mine,tonnes (metal content),...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17,...18,...19,...20,...21,...22,...23,...24
"
	Country",Sub-commodity,2012.0,,2013.0,,2014.0,,2015.0,,2016.0,,2017.0,,2018.0,,2019.0,,2020.0,,2021.0,,2022.0,
Brazil,,,0,,0,,578,,3254,,4461,,5206,,5505,,5923,,6622,,5779,,5844
China,,*,40000,*,45000,*,48000,,51100,,45900,,45400,*,40000,*,54000,*,70000,*,73000,*,76000
India,,,,,,,,(g),1124,(g),1125,(g)*,400,(g),442,(g)*,76,(g)*,100,(g)*,100,(g)*,100
Kazakhstan,,*,0,*,0,*,0,*,0,*,0,*,1000,(h),125,(h),152,(h),237,(h),260,(h),306
Russia,,,14856,,14403,,15125,,16196,,16886,,18636,,17052,,18380,,19533,,20058,*,20000
South Africa,,,19957,,21397,,21582,,17455,,15877,,14222,,14904,,14858,,14421,,15424,,9100
USA,,,106,,591,,,,0,,0,,0,,0,,460,,17,,0,,0
Notes,,,,,,,,,,,,,,,,,,,,,,,
Table notes,,,,,,,,,,,,,,,,,,,,,,,
1:,This table includes vanadium in slag products but excludes vanadium recovered as a byproduct of the refining and burning of heavy oils,,,,,,,,,,,,,,,,,,,(1992 Onwards),,,
1:,This table includes vanadium in slag products but excludes vanadium recovered as a by-product of the refining and burning of heavy oils,,,,,,,,,,,,,,,,,,,(2004 Onwards),,,
Footnotes,,,,,,,,,,,,,,,,,,,,,,,
*),Estimate,,,,,,,,,,,,,,,,,,,,,,
g),Years ending 31 March following that stated,,,,,,,,,,,,,,,,,,,,,,
h),Tonnes of vanadium pentoxide,,,,,,,,,,,,,,,,,,,,,,
