ID,Name,Country,Visitors/year (2019),Entrance Fee (single ticket),Tour Length ,Total length,Estimated total income/year Euros
1,Ain Beni Add,Algeria,20000,1,600,1100,20000
2,Brujas Caverna de las,Argentina,15000,5,100,5000,75000
3,Gualicho Cuevas,Argentina,10000,7,50,50,70000
4,Manos Cueva de las,Argentina,40000,3.7,20,20,148000
5,Ongamira grutas de las,Argentina,20000,7,50,50,140000
6,Pajaritos Cueva de los,Argentina,50000,2,300,300,100000
10,Alexaandra Cave (Naracoorte),Australia,25000,14.9,240,240,372500
11,Belfry Cave (Abercrombie),Australia,10000,20,220,220,200000
,King Solomons (Bushrangers) Cave (Abercrombie),Australia,5000,21,200,200,105000
,Grove Cave (Abercrombie),Australia,5000,15,500,500,75000
12,Blanche Cave (Naracoorte),Australia,10000,20,100,100,200000
13,Calgardup Caves,Australia,20000,12,300,300,240000
14,Capricorn caves (Mt. Etna),Australia,35000,19,1000,2000,665000
15,Carey's Cave (Wee Jasper),Australia,5000,14,400,400,70000
16,Castle Cave (Yarrangobilly),Australia,10000,4,30,30,40000
17,Cathedral Cave (Naracoorte),Australia,40000,22,200,200,880000
18,Cathedral Cave (Wellington),Australia,50000,16.5,400,400,825000
19,Crystal Cave (Yanchep),Australia,30000,10.2,200,200,306000
20,Cutta Cutta caves,Australia,40000,16.5,300,500,660000
21,Donna Cave (Chillagoe),Australia,5000,18.6,500,500,93000
22,Englebrecht caves (Mt. Gambier),Australia,15000,9.2,300,300,138000
23,Fairy Cave (Buchan),Australia,60000,14.9,400,1500,894000
24,Federal Cave (Buchan),Australia,5000,15,500,1000,75000
25,Fig Tree Cave (Wombeyan),Australia,10000,12.7,500,500,127000
26,Gaden Cave (Wellington),Australia,50000,16.5,400,400,825000
27,Giant's Cave Galardup (Margaret River),Australia,10000,12,500,500,120000
28,Guns Plains Cave (Hastings),Australia,15000,20,280,280,300000
29,Jenolan Caves,Australia,250000,25,1500,20000,6250000
30,Jersey Cave (Yarrangobilly),Australia,10000,4,135,200,40000
31,Jewel Cave (Margaret River),Australia,70000,14.3,800,1900,1001000
32,Jillabean Cave (Yarrangobilly),Australia,10000,16.5,190,190,165000
33,Junction Cave (Wombeyan),Australia,10000,15.2,300,300,152000
34,Kelley Hill Cave (Kangaroo Island),Australia,20000,13.5,300,300,270000
35,King Soloman Cave (Mole Creek),Australia,20000,12,400,400,240000
36,Kooringa Cave (Wombeyan),Australia,10000,15.2,200,200,152000
37,Lake Cave (Margaret River),Australia,10000,14.3,800,1900,143000
38,Mammoth Cave (Margaret River),Australia,20000,14.3,570,570,286000
39,Marakoopa Cave (Mole Creek),Australia,50000,12,500,500,600000
40,Moondyne Cave (Margaret River),Australia,5000,14.3,270,270,71500
41,Mulwaree Cave (Wombeyan),Australia,10000,14,200,400,140000
42,Newdegate Cave (Hastings),Australia,20000,15.5,500,500,310000
43,Ngilgi Cave (Margaret River),Australia,70000,14.3,500,730,1001000
44,North Glory Cave (Yarrangobilly),Australia,10000,16.5,400,400,165000
45,Princess Margaret Rose Cave (Great Ocean Road),Australia,15000,12.8,300,300,192000
46,Royal Arch Cave (Chillagoe),Australia,20000,18.6,1300,1300,372000
47,Royal Cave (Buchan),Australia,60000,14.9,500,3000,894000
48,South Glory Cave (Yarrangobilly),Australia,10000,16.5,470,470,165000
49,Stick-Tomato Cave (Naracoorte),Australia,20000,6.7,200,200,134000
50,Tantanoola Cave (Mt. Gambier),Australia,25000,9.2,60,60,230000
51,Trezkinn Cave (Chillagoe),Australia,5000,18.6,500,500,93000
52,Undara Lava Tubes,Australia,50000,38.7,1000,2000,1935000
53,Victoria Fossil Cave (Naracoorte),Australia,30000,22,420,1000,660000
54,Wet Cave (Naracoorte),Australia,20000,15,200,200,300000
55,Wollondilly Cave (Wombeyan),Australia,10000,15.2,800,800,152000
56,Allander Tropfsteinhöhlen,Austria,5000,8,70,170,40000
57,Arzberghöhle,Austria,200,10,300,1000,2000
58,Drachenhöhle,Austria,50,10,800,4500,500
59,Einhornhöhle,Austria,5000,5,100,100,25000
60,Eisensteinhöhle,Austria,15000,9,800,2300,135000
61,Eiskogelhöhle,Austria,50,30,800,2500,1500
62,Eisriesenwelt,Austria,150000,16,1600,42000,2400000
63,Entrische Kirche,Austria,50000,8,400,1600,400000
64,Feuchter Keller,Austria,100,10,300,800,1000
65,Frauenmauerhöhle,Austria,800,5,400,43000,4000
66,Gassel-Tropfsteinhöhle,Austria,5000,9,250,5000,45000
67,Grasslhöhle,Austria,10000,7.5,400,400,75000
68,Griffener Tropfsteinhöhle,Austria,10000,9.5,300,300,95000
69,Hermannshöhle,Austria,15000,9,1000,4300,135000
70,Hochkarschacht,Austria,1500,12,600,650,18000
71,Hohlensteinhöhle,Austria,100,10,300,300,1000
72,Hundalm Eis- und Tropfsteinhöhle,Austria,5000,6,150,150,30000
73,Katerloch,Austria,3000,20,1000,1000,60000
74,Koppenbrüllerhöhle,Austria,50000,14.4,600,4000,720000
75,Kraushöhle,Austria,10000,10,340,500,100000
